id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"670","Like Crazy","2011","Jan","Drama","PG-13","90","English","Drake Doremus","Drake Doremus","Anton Yelchin","71","67","44334","250000","3388210"
"671","Mission: Impossible - Rogue Nation","2015","Jul","Action","PG-13","131","English","Christopher McQuarrie","Christopher McQuarrie","Tom Cruise","75","75","207337","150000000","195042377"
"672","The Bourne Legacy","2012","Aug","Action","PG-13","135","English","Tony Gilroy","Tony Gilroy","Jeremy Renner","61","67","219050","125000000","113203870"
"673","Tusk","2014","Sep","Comedy","R","102","English","Kevin Smith","Kevin Smith","Michael Parks","55","54","28359","2800000","1427014"
"674","Django Unchained","2012","Dec","Drama","R","165","English","Quentin Tarantino","Quentin Tarantino","Jamie Foxx","81","85","905379","100000000","162804648"
"675","Love, Wedding, Marriage","2011","Jun","Comedy","PG-13","90","English","Dermot Mulroney","Anouska Chydzik","Mandy Moore","13","50","7455","1200000","1378"
"676","Seasons of Gray","2013","Sep","Drama","PG-13","90","English","Paul Stehlik Jr.","Sarah Stehlik","Andrew Cheney","N/A","64","112","500000","64819"
"677","30 Beats","2012","Nov","Comedy","R","88","English","Alexis Lloyd","Alexis Lloyd","Condola Rashad","20","41","727","1000000","14686"
"678","Into the Storm","2014","Aug","Action","PG-13","89","English","Steven Quale","John Swetnam","Richard Armitage","44","58","51920","50000000","47602194"
"679","Warrior Princess","2014","Sep","Action","R","95","English","Shuudertsetseg Baatarsuren","Shuudertsetseg Baatarsuren","Batmend Baast","N/A","45","105","800000","3000000"
"680","Hereafter","2010","Oct","Drama","PG-13","129","English","Clint Eastwood","Peter Morgan","Cécile De France","56","65","78817","50000000","32741596"
"681","The Babadook","2014","Nov","Drama","NOT RATED","93","English","Jennifer Kent","Jennifer Kent","Essie Davis","86","69","99702","2000000","924279"
"682","The Next Three Days","2010","Nov","Crime","PG-13","133","English","Paul Haggis","Paul Haggis","Russell Crowe","52","74","142564","35000000","21129348"
"683","This Is 40","2012","Dec","Comedy","R","134","English","Judd Apatow","Judd Apatow","Paul Rudd","59","62","100447","35000000","67523385"
"684","A Nightmare on Elm Street","2010","Nov","Horror","R","91","English","Wes Craven","Wes Craven","John Saxon","78","75","142213","27000000","63059655"
"685","Love the Coopers","2015","Nov","Comedy","PG-13","107","English","Jessie Nelson","Steven Rogers","Steve Martin","31","57","5279","17000000","26284475"
"686","Queen of the Lot","2010","Nov","Comedy","R","120","English","Henry Jaglom","Henry Jaglom","Tanna Frederick","42","55","66","500000","153430"
"687","Paranormal Activity: The Marked Ones","2014","Jan","Fantasy","R","84","English","Christopher Landon","Christopher Landon","Andrew Jacobs","42","50","30534","5000000","32453345"
"688","Lazer Team","2015","Jan","Action","PG-13","102","English","Matt Hullum","Burnie Burns","Burnie Burns","40","62","3235","2480421","1149878"
"689","War Horse","2011","Dec","Drama","PG-13","146","English","Steven Spielberg","Lee Hall","Jeremy Irvine","72","72","112976","66000000","79884879"
"690","The Other Dream Team","2012","Sep","Documentary","NOT RATED","89","English","Marius A. Markevicius","Marius A. Markevicius","Jim Lampley","69","84","3035","500000","133778"
"691","A Most Violent Year","2014","Jan","Action","R","125","English","J.C. Chandor","J.C. Chandor","Oscar Isaac","79","70","41834","20000000","5749134"
"692","Savage High","2016","Oct","Drama","NOT RATED","92","English","Manny Velazquez","Manny Velazquez","Alen Rios","N/A","N/A","N/A","10000","350"
"693","Incendies","2010","Jan","Drama","R","139","French","Denis Villeneuve","Denis Villeneuve","Mustafa Kamel","82","82","74857","6800000","6857096"
"694","Above and Beyond","2014","Jan","Action","APPROVED","122","English","Melvin Frank, Norman Panama","Beirne Lay Jr.","Robert Taylor","N/A","70","785","1300000","287697"
"695","ParaNorman","2012","Aug","Animation","PG","92","English","Chris Butler, Sam Fell","Chris Butler","Kodi Smit-McPhee","72","70","70065","60000000","55964935"
"696","Winnie the Pooh","2011","Jul","Animation","G","63","English","Stephen J. Anderson, Don Hall","Stephen J. Anderson","John Cleese","74","73","15057","30000000","26687172"
"697","Jonah Hex","2010","Jun","Action","PG-13","81","English","Jimmy Hayward","Mark Neveldine","Josh Brolin","33","46","44084","47000000","10539414"
"698","Captain America: The First Avenger","2011","Jul","Action","PG-13","124","English","Joe Johnston","Christopher Markus","Chris Evans","66","68","469692","140000000","176654505"
"699","The Boxtrolls","2014","Sep","Animation","PG","96","English","Graham Annable, Anthony Stacchi","Irena Brignull","Ben Kingsley","61","68","38141","60000000","50807639"
"700","The Visit","2015","Sep","Horror","PG-13","94","English","M. Night Shyamalan","M. Night Shyamalan","Olivia DeJonge","55","62","48005","5000000","65069140"
"701","Atlas Shrugged: Part I","2011","Apr","Drama","PG-13","97","English","Paul Johansson","Brian Patrick O'Toole","Taylor Schilling","28","58","11233","8000000","4563873"
"702","Star Wars: Episode VII - The Force Awakens","2015","Dec","Action","PG-13","135","English","J.J. Abrams","Lawrence Kasdan","Harrison Ford","81","84","435197","200000000","914838964"
"703","The Lone Ranger","2013","Jul","Action","PG-13","149","English","Gore Verbinski","Justin Haythe","Johnny Depp","37","65","176053","215000000","89302115"
"704","The Drop","2014","Sep","Crime","R","106","English","Michaël R. Roskam","Dennis Lehane","Tom Hardy","69","71","99585","12600000","10724389"
"705","The Brass Teapot","2012","Apr","Comedy","R","101","English","Ramaa Mosley","Tim Macy","Juno Temple","43","64","11427","900000","6643"
"706","Room","2015","Jan","Drama","R","118","English","Lenny Abrahamson","Emma Donoghue","Brie Larson","86","83","42408","6000000","13538053"
"707","2016: Obama's America","2012","Aug","Documentary","PG","87","English","Dinesh D'Souza, John Sullivan","Dinesh D'Souza","Jay Bastian","28","52","8647","2500000","33349949"
"708","Apollo 18","2011","Sep","Horror","PG-13","86","English","Gonzalo López-Gallego","Brian Miller","Warren Christie","24","52","46344","5000000","17686929"
"709","RED 2","2013","Jul","Action","PG-13","116","English","Dean Parisot","Jon Hoeber","Bruce Willis","47","67","119371","84000000","53215979"
"710","Sanctum","2011","Feb","Adventure","R","108","English","Alister Grierson","John Garvin","Richard Roxburgh","42","59","46149","30000000","23070045"
"711","Dirty Girl","2010","Jul","Comedy","R","90","English","Abe Sylvia","Abe Sylvia","Jeremy Dozier","37","65","8728","4000000","53630"
"712","MacGruber","2010","May","Action","R","90","English","Jorma Taccone","Will Forte","Will Forte","43","55","35021","10000000","8460995"
"713","Contagion","2011","Sep","Drama","PG-13","106","English","Steven Soderbergh","Scott Z. Burns","Gwyneth Paltrow","70","66","175851","60000000","75658097"
"714","The Girl from the Naked Eye","2012","Jun","Action","R","84","English","David Ren","Larry Madill","Jason Yee","40","49","1716","1100000","17401"
"715","Argo","2012","Oct","Biography","R","120","English","Ben Affleck","Chris Terrio","Ben Affleck","86","78","435305","44500000","136019448"
"716","Go for It!","2011","May","Drama","PG-13","105","English","Carmen Marron","Carmen Marron","Aimee Garcia","44","38","1010","2450000","172687"
"717","Big Hero 6","2014","Nov","Animation","PG","102","English","Don Hall, Chris Williams","Jordan Roberts","Scott Adsit","74","79","247463","165000000","222487711"
"718","Hobo with a Shotgun","2011","May","Action","NOT RATED","86","English","Jason Eisener","John Davies","Rutger Hauer","55","61","36679","3000000","703002"
"719","The Paperboy","2012","Oct","Drama","R","107","English","Lee Daniels","Peter Dexter","Zac Efron","45","58","28114","12500000","692640"
"720","Alexander and the Terrible, Horrible, No Good, Very Bad Day","2014","Oct","Comedy","PG","81","English","Miguel Arteta","Rob Lieber","Steve Carell","54","62","27800","28000000","66950483"
"721","TRON","2010","Jul","Action","PG","96","English","Steven Lisberger","Steven Lisberger","Jeff Bridges","N/A","68","91456","170000000","172062763"
"722","Hesher","2010","Jun","Drama","R","106","English","Spencer Susser","Spencer Susser","Joseph Gordon-Levitt","45","71","43011","7000000","382946"
"723","Tooth Fairy","2010","Jan","Comedy","PG","101","English","Michael Lembeck","Lowell Ganz","Dwayne Johnson","36","50","28916","48000000","60020099"
"724","Project Almanac","2015","Jan","Sci-Fi","PG-13","106","English","Dean Israelite","Jason Pagan","Jonny Weston","47","64","52591","12000000","22331028"
"725","Alone Yet Not Alone","2013","Sep","History","PG-13","103","English","Ray Bengston, George D. Escobar","Tracy Leininger Craven","Kelly Greyson","N/A","41","422","7000000","668172"
"726","Melancholia","2011","May","Drama","R","130","English","Lars von Trier","Lars von Trier","Kirsten Dunst","80","71","122954","7400000","3029870"
"727","Flight","2012","Nov","Drama","R","138","English","Robert Zemeckis","John Gatins","Nadine Velazquez","76","73","256966","31000000","93772375"
"728","Long Distance Revolutionary: A Journey with Mumia Abu-Jamal","2012","Feb","Documentary","NOT RATED","120","English","Stephen Vittoria","Stephen Vittoria","Cornel West","41","80","402","250000","35806"
"729","Ruby Sparks","2012","Sep","Comedy","R","104","English","Jonathan Dayton, Valerie Faris","Zoe Kazan","Paul Dano","67","72","75649","8000000","2535819"
"730","Resident Evil: Afterlife","2010","Sep","Action","R","97","English","Paul W.S. Anderson","Paul W.S. Anderson","Milla Jovovich","37","59","127715","60000000","60128566"
"731","Dream House","2011","Sep","Drama","PG-13","92","English","Jim Sheridan","David Loucka","Daniel Craig","35","59","44259","55000000","21283440"
"732","Musical Chairs","2011","Sep","Drama","PG-13","102","English","Susan Seidelman","Marty Madden","Leah Pipes","46","49","246","2500000","31478"
"733","Paranormal Activity: The Ghost Dimension","2015","Oct","Horror","R","88","English","Gregory Plotkin","Jason Pagan","Chris J. Murray","30","45","11713","10000000","18247445"
"734","Son of God","2014","Feb","Biography","PG-13","138","English","Christopher Spencer","Richard Bedser","Sebastian Knapp","37","55","14827","22000000","59666589"
"735","Lincoln","2012","Nov","Biography","PG-13","150","English","Steven Spielberg","Tony Kushner","Daniel Day-Lewis","86","74","190681","65000000","182207973"
"736","Step Up 3D","2010","Aug","Drama","PG-13","107","English","Jon M. Chu","Amy Andelson","Rick Malambri","45","62","45872","30000000","42385520"
"737","Piranha 3DD","2012","May","Comedy","R","83","English","John Gulager","Patrick Melton","Danielle Panabaker","24","38","31079","5000000","370904"
"738","Warm Bodies","2013","Feb","Comedy","PG-13","98","English","Jonathan Levine","Jonathan Levine","Nicholas Hoult","59","69","177774","35000000","66359959"
"739","No One Lives","2012","May","Horror","R","86","English","Ryûhei Kitamura","David Cohen","Luke Evans","26","60","12735","2900000","72140"
"740","The A-Team","2010","Jun","Action","PG-13","117","English","Joe Carnahan","Joe Carnahan","Liam Neeson","47","68","206449","110000000","77222099"
"741","The Extra Man","2010","Jan","Comedy","R","108","English","Shari Springer Berman, Robert Pulcini","Robert Pulcini","Paul Dano","56","59","4063","7000000","453079"
"742","Tomorrow","2016","Sep","Drama","PG","103","English","Joseph Anthony","William Faulkner","Robert Duvall","N/A","78","753","2000","1447"
"743","For a Good Time, Call...","2012","Nov","Comedy","R","85","English","Jamie Travis","Lauren Miller","Lauren Miller","55","60","12934","850000","1243961"
"744","Blue Jasmine","2013","Aug","Drama","PG-13","98","English","Woody Allen","Woody Allen","Cate Blanchett","78","73","142491","18000000","33404871"
"745","Hardflip","2012","Jun","Action","PG-13","112","English","Johnny Remo","Daniel Backman","Randy Wayne","N/A","54","589","1000000","96734"
"746","The Sorcerer's Apprentice","2010","Jul","Action","PG","109","English","Jon Turteltaub","Lawrence Konner","Nicolas Cage","46","61","120804","150000000","63150991"
"747","The Tree of Life","2011","May","Drama","PG-13","139","English","Terrence Malick","Terrence Malick","Brad Pitt","85","67","132287","32000000","13303319"
"748","Teenage Mutant Ninja Turtles","2014","Aug","Action","PG-13","101","English","Jonathan Liebesman","Josh Appelbaum","Megan Fox","31","59","155465","125000000","191204754"
"749","21 Jump Street","2012","Mar","Action","R","109","English","Phil Lord, Christopher Miller","Michael Bacall","Jonah Hill","69","72","389601","42000000","138447667"
"750","Let's Be Cops","2014","Aug","Comedy","R","104","English","Luke Greenfield","Luke Greenfield","Jake Johnson","30","65","101760","17000000","79628884"
"751","Scouts Guide to the Zombie Apocalypse","2015","Oct","Action","R","93","English","Christopher Landon","Carrie Lee Wilson","Tye Sheridan","32","63","17684","15000000","3635292"
"752","John Wick","2014","Oct","Action","R","101","English","Chad Stahelski, David Leitch","Derek Kolstad","Keanu Reeves","68","72","224391","20000000","43037835"
"753","Our Brand Is Crisis","2015","Oct","Comedy","R","107","English","David Gordon Green","Peter Straughan","Sandra Bullock","53","60","5244","28000000","6998324"
"754","Jersey Boys","2014","Jun","Biography","R","134","English","Clint Eastwood","Marshall Brickman","Vincent Piazza","54","69","24112","40000000","46222854"
"755","The Darkest Hour","2011","Dec","Action","PG-13","89","English","Chris Gorak","Jon Spaihts","Emile Hirsch","16","49","48072","30000000","21426805"
"756","A Very Harold & Kumar 3D Christmas","2011","Nov","Adventure","R","90","English","Todd Strauss-Schulson","Jon Hurwitz","Patton Oswalt","61","63","53503","19000000","35033759"
"757","Only Lovers Left Alive","2013","Dec","Drama","R","123","English","Jim Jarmusch","Jim Jarmusch","Tom Hiddleston","79","73","56018","7000000","1841122"
"758","Brothers","2015","Dec","Drama","R","105","English","Jim Sheridan","David Benioff","Tobey Maguire","58","71","85404","10205000","266175"
"759","Talaash","2012","Nov","Crime","NOT RATED","140","Hindi","Reema Kagti","Farhan Akhtar","Aamir Khan","65","73","26589","7395080","2706375"
"760","The Smurfs 2","2013","Jul","Animation","PG","105","English","Raja Gosnell","J. David Stem","Hank Azaria","34","54","25984","105000000","70879078"
"761","Max","2015","Jun","Adventure","PG","111","English","Boaz Yakin","Boaz Yakin","Thomas Haden Church","47","68","15712","20000000","42652003"
"762","Blue Like Jazz","2012","Apr","Comedy","PG-13","108","English","Steve Taylor","Donald Miller","Marshall Allman","48","60","2515","1200000","594904"
"763","Girl in Progress","2012","Aug","Comedy","PG-13","93","English","Patricia Riggen","Hiram Martinez","Eva Mendes","45","56","5332","5000000","2594878"
"764","The Gambler","2014","Dec","Crime","R","111","English","Rupert Wyatt","William Monahan","Mark Wahlberg","55","60","45381","25000000","33631221"
"765","Margaret","2011","Jun","Drama","R","150","English","Kenneth Lonergan","Kenneth Lonergan","Anna Paquin","61","65","11706","14000000","46495"
"766","Shrek Forever After","2010","May","Animation","PG","93","English","Mike Mitchell","William Steig","Mike Myers","58","64","132609","165000000","238371987"
"767","The Conjuring","2013","Jul","Horror","R","112","English","James Wan","Chad Hayes","Vera Farmiga","68","75","274436","20000000","137387272"
"768","Bernie","2011","Jun","Comedy","PG-13","104","English","Richard Linklater","Skip Hollandsworth","Jack Black","75","68","43682","5000000","9203192"
"769","Jack and Jill","2011","Nov","Comedy","PG","91","English","Dennis Dugan","Steve Koren","Adam Sandler","23","34","58217","79000000","74158157"
"770","The Greatest Movie Ever Sold","2011","Aug","Documentary","PG-13","90","English","Morgan Spurlock","Jeremy Chilnick","J.J. Abrams","66","66","12982","1500000","638476"
"771","CBGB","2013","Oct","Drama","R","101","English","Randall Miller","Jody Savin","Alan Rickman","30","65","5822","5000000","40040"
"772","Pitch Perfect","2012","Oct","Comedy","PG-13","112","English","Jason Moore","Kay Cannon","Anna Kendrick","66","72","204568","17000000","64998368"
"773","All Is Lost","2013","Nov","Action","PG-13","106","English","J.C. Chandor","J.C. Chandor","Robert Redford","87","69","57391","9000000","6262942"
"774","From Paris with Love","2010","Feb","Action","R","92","English","Pierre Morel","Adi Hasak","John Travolta","42","65","95581","52000000","23979741"
"775","Labios rojos","2011","Oct","Comedy","R","93","Spanish","Rafa Lara","Jorge Aguirre","Sophie Alexander-Katz","N/A","51","307","2000000","134906"
"776","Smashed","2012","Dec","Drama","R","81","English","James Ponsoldt","Susan Burke","Mary Elizabeth Winstead","71","68","12519","500000","375981"
"777","The Signal","2014","Jul","Sci-Fi","PG-13","97","English","William Eubank","Carlyle Eubank","Patrick Davidson","54","61","45175","4000000","600896"
"778","Casa de mi Padre","2012","May","Comedy","R","84","Spanish","Matt Piedmont","Andrew Steele","Will Ferrell","52","55","16705","6000000","5895238"
"779","The Hunger Games: Mockingjay - Part 1","2014","Nov","Adventure","PG-13","123","English","Francis Lawrence","Peter Craig","Jennifer Lawrence","64","67","280510","125000000","337135885"
"780","The Hunger Games: Mockingjay - Part 2","2015","Nov","Adventure","PG-13","137","English","Francis Lawrence","Peter Craig","Jennifer Lawrence","65","69","97247","160000000","280976000"
"781","The Music Never Stopped","2011","Oct","Drama","PG","105","English","Jim Kohlberg","Gwyn Lurie","J.K. Simmons","60","76","5726","4000000","258077"
"782","Me and Earl and the Dying Girl","2015","Jul","Comedy","PG-13","105","English","Alfonso Gomez-Rejon","Jesse Andrews","Thomas Mann","74","78","58944","8000000","6743776"
"783","Delivery Man","2013","Nov","Comedy","PG-13","105","English","Ken Scott","Ken Scott","Vince Vaughn","44","64","57155","26000000","30659817"
"784","Vanishing on 7th Street","2010","Feb","Horror","R","92","English","Brad Anderson","Anthony Jaswinski","Hayden Christensen","50","49","21460","10000000","22197"
"785","Green Lantern","2011","Jun","Action","PG-13","114","English","Martin Campbell","Greg Berlanti","Ryan Reynolds","39","56","216671","200000000","116601172"
"786","Stolen","2012","Sep","Action","R","96","English","Simon West","David Guggenheim","Nicolas Cage","43","55","35791","35000000","304318"
"787","Out of the Furnace","2013","Dec","Crime","R","116","English","Scott Cooper","Brad Ingelsby","Woody Harrelson","63","68","79614","22000000","11326836"
"788","The One I Love","2014","Aug","Comedy","R","91","English","Charlie McDowell","Justin Lader","Mark Duplass","66","71","20698","100000","500689"
"789","Bridge of Spies","2015","Oct","Biography","PG-13","142","English","Steven Spielberg","Matt Charman","Mark Rylance","81","77","112329","40000000","72051548"
"790","Secretariat","2010","Oct","Drama","PG","123","English","Randall Wallace","Mike Rich","Diane Lane","61","72","20178","35000000","59699513"
"791","The Loft","2014","Jan","Mystery","R","108","English","Erik Van Looy","Bart De Pauw","Karl Urban","24","63","30112","14000000","5981749"
"792","Need for Speed","2014","Mar","Action","PG-13","132","English","Scott Waugh","George Gatins","Aaron Paul","39","65","131930","66000000","43577636"
"793","50/50","2011","Sep","Comedy","R","100","English","Jonathan Levine","Will Reiser","Joseph Gordon-Levitt","72","77","263484","8000000","35014192"
"794","Snowpiercer","2013","Jul","Action","R","126","English","Joon Ho Bong","Joon Ho Bong","Chris Evans","84","70","169147","39200000","4563650"
"795","The Trouble with Terkel","2010","May","Animation","R","87","English","Thorbjørn Christoffersen, Stefan Fjeldmark, Randolph Kret","Mette Heeno","Shark Firestone","N/A","69","69","1000000","35531"
"796","God Help the Girl","2014","Sep","Drama","UNRATED","112","English","Stuart Murdoch","Stuart Murdoch","Emily Browning","58","64","5945","1850000","97919"
"797","Rango","2011","Mar","Animation","PG","107","English","Gore Verbinski","John Logan","Johnny Depp","75","72","176359","135000000","123477607"
"798","Greedy Lying Bastards","2012","Mar","Documentary","PG-13","90","English","Craig Scott Rosebraugh","Patrick Gambuti Jr.","Enoch Adams","56","56","202","1500000","93511"
"799","Ride Along 2","2016","Jan","Action","PG-13","102","English","Tim Story","Phil Hay","Ice Cube","32","59","10186","40000000","82661235"
"800","Spy","2015","Jun","Action","R","119","English","Paul Feig","Paul Feig","Jude Law","75","71","141626","65000000","110822419"
"801","The Host","2013","Mar","Action","PG-13","125","English","Andrew Niccol","Andrew Niccol","Rachel Roberts","35","59","89131","40000000","26616999"
"802","A Thousand Words","2012","Mar","Comedy","PG-13","91","English","Brian Robbins","Steve Koren","Eddie Murphy","26","59","29821","40000000","18438149"
"803","Self/less","2015","Jul","Action","PG-13","117","English","Tarsem Singh","David Pastor","Ryan Reynolds","34","65","47857","26000000","12276810"
"804","Somewhere","2010","Jan","Comedy","R","97","English","Sofia Coppola","Sofia Coppola","Stephen Dorff","67","64","34930","7000000","1768416"
"805","John Carter","2012","Mar","Action","PG-13","132","English","Andrew Stanton","Andrew Stanton","Taylor Kitsch","51","66","205764","263700000","73078100"
"806","Unbroken","2014","Dec","Biography","PG-13","137","English","Angelina Jolie","Joel Coen","Jack O'Connell","59","72","95444","65000000","115637895"
"807","Spotlight","2015","Nov","Biography","R","128","English","Tom McCarthy","Josh Singer","Mark Ruffalo","93","82","72189","20000000","39478783"
"808","I Am Number Four","2011","Feb","Action","PG-13","109","English","D.J. Caruso","Alfred Gough","Alex Pettyfer","36","61","189997","50000000","55011805"
"809","Kill the Irishman","2011","May","Action","R","106","English","Jonathan Hensleigh","Jonathan Hensleigh","Ray Stevenson","50","72","34449","12000000","2478156"
"810","The Hangover Part III","2013","May","Comedy","R","100","English","Todd Phillips","Todd Phillips","Bradley Cooper","30","59","211085","103000000","112186625"
"811","The 33","2015","Nov","Biography","PG-13","127","English","Patricia Riggen","Mikko Alanne","Antonio Banderas","55","69","14517","25000000","12188642"
"812","Here Comes the Boom","2012","Oct","Action","PG","105","English","Frank Coraci","Allan Loeb","Kevin James","40","65","72424","42000000","45290318"
"813","Madea's Big Happy Family","2011","Apr","Comedy","PG-13","106","English","Tyler Perry","Tyler Perry","Tyler Perry","45","44","5955","25000000","53311948"
"814","Think Like a Man Too","2014","Jun","Comedy","PG-13","106","English","Tim Story","Keith Merryman","Adam Brody","38","57","14468","24000000","65028687"
"815","2 Guns","2013","Aug","Action","R","109","English","Baltasar Kormákur","Blake Masters","Denzel Washington","55","67","150395","61000000","75422685"
"816","Pawn Shop Chronicles","2013","Nov","Action","R","112","English","Wayne Kramer","Adam Minarovich","Paul Walker","26","59","8222","5000000","4915"
"817","Ex Machina","2015","Apr","Drama","R","108","English","Alex Garland","Alex Garland","Domhnall Gleeson","78","77","248213","15000000","25442958"
"818","Pirates of the Caribbean: On Stranger Tides","2011","May","Action","PG-13","136","English","Rob Marshall","Ted Elliott","Johnny Depp","45","67","355209","378500000","241071802"
"819","50 to 1","2014","Mar","Drama","PG-13","110","English","Jim Wilson","Faith Conroy","Skeet Ulrich","37","66","1210","8500000","1056887"
"820","Krampus","2015","Dec","Comedy","PG-13","98","English","Michael Dougherty","Todd Casey","Emjay Anthony","49","65","16794","15000000","42592530"
"821","Mad Max: Fury Road","2015","May","Action","R","120","English","George Miller","George Miller","Tom Hardy","89","82","452340","150000000","153636354"
"822","Joyful Noise","2012","Jan","Comedy","PG-13","118","English","Todd Graff","Todd Graff","Queen Latifah","44","57","6326","25000000","30920167"
"823","The Divide","2011","Apr","Drama","R","112","English","Xavier Gens","Karl Mueller","Lauren German","28","58","29691","3000000","22000"
"824","The Perfect Host","2010","May","Comedy","R","93","English","Nick Tomnay","Nick Tomnay","David Hyde Pierce","48","68","19495","500000","48430"
"825","Inkubus","2011","Oct","Horror","R","80","English","Glenn Ciano","Glenn Ciano","Robert Englund","N/A","39","910","1500000","81600"
"826","Takers","2010","Aug","Action","PG-13","107","English","John Luessenhop","Peter Allen","Chris Brown","45","62","45736","20000000","57744720"
"827","Tomorrowland","2015","May","Action","PG","130","English","Brad Bird","Damon Lindelof","George Clooney","60","65","110858","190000000","93417865"
"828","Savages","2012","Jul","Crime","R","131","English","Oliver Stone","Shane Salerno","Blake Lively","59","65","101660","45000000","47307550"
"829","The Masked Saint","2016","Jan","Action","PG-13","111","English","Warren P. Sonoda","Scott Crowell","Brett Granstaff","22","45","113","3500000","123777"
"830","Barefoot","2014","Sep","Comedy","PG-13","90","English","Andrew Fleming","Stephen Zotnowski","Evan Rachel Wood","22","66","15494","6000000","11766"
"831","Dumb and Dumber To","2014","Nov","Comedy","PG-13","109","English","Bobby Farrelly, Peter Farrelly","Sean Anders","Jim Carrey","36","57","92292","40000000","86208010"
"832","The Heat","2013","Jun","Action","R","117","English","Paul Feig","Katie Dippold","Sandra Bullock","60","66","125923","43000000","159578352"
"833","Ca$h","2010","Mar","Comedy","R","108","English","Stephen Milburn Anderson","Stephen Milburn Anderson","Sean Bean","N/A","60","7471","7000000","46451"
"834","Taken 2","2012","Oct","Action","PG-13","92","English","Olivier Megaton","Luc Besson","Liam Neeson","45","63","228540","45000000","139854287"
"835","Taken 3","2014","Jan","Action","PG-13","109","English","Olivier Megaton","Luc Besson","Liam Neeson","26","60","125270","48000000","89256424"
"836","Unstoppable","2010","Nov","Action","PG-13","98","English","Tony Scott","Mark Bomback","Denzel Washington","69","68","144695","100000000","81562942"
"837","Arbitrage","2012","Sep","Drama","R","107","English","Nicholas Jarecki","Nicholas Jarecki","Richard Gere","73","66","40562","12000000","7918283"
"838","The Equalizer","2014","Sep","Action","R","132","English","Antoine Fuqua","Richard Wenk","Denzel Washington","57","72","217348","55000000","100454738"
"839","30 Minutes or Less","2011","Aug","Action","R","83","English","Ruben Fleischer","Michael Diliberti","Jesse Eisenberg","49","61","76004","28000000","37053924"
"840","There Be Dragons","2011","Mar","Biography","PG-13","122","English","Roland Joffé","Roland Joffé","Charlie Cox","33","59","3779","36000000","1065439"
"841","Furry Vengeance","2010","Apr","Comedy","PG","92","English","Roger Kumble","Michael Carnes","Brendan Fraser","23","38","12022","35000000","17596256"
"842","The Apparition","2012","Aug","Horror","PG-13","82","English","Todd Lincoln","Todd Lincoln","Ashley Greene","18","41","15847","17000000","4930798"
"843","Burn","2012","Apr","Documentary","NOT RATED","86","English","Tom Putnam, Brenna Sanchez","Tom Putnam, Brenna Sanchez","Donald Austin","82","75","564","225000","1109276"
"844","13 Hours: The Secret Soldiers of Benghazi","2016","Jan","Action","R","144","English","Michael Bay","Chuck Hogan","John Krasinski","48","76","9803","50000000","47742896"
"845","Clash of the Titans","2010","Apr","Action","PG-13","106","English","Louis Leterrier","Travis Beacham","Sam Worthington","39","58","223376","125000000","163214888"
"846","I Want Your Money","2010","Oct","Documentary","PG","92","English","Ray Griggs","Randall Norman Desoto","Ken Blackwell","N/A","50","1112","400000","425899"
"847","The Great Gatsby","2013","May","Drama","PG-13","143","English","Baz Luhrmann","Baz Luhrmann","Lisa Adam","55","73","344993","105000000","144812796"
"848","The Woman in Black","2012","Feb","Drama","PG-13","95","English","James Watkins","Susan Hill","Emma Shorey","62","64","135617","17000000","54322273"
"849","Blended","2014","May","Comedy","PG-13","117","English","Frank Coraci","Ivan Menchell","Adam Sandler","31","65","82134","40000000","45889191"
"850","Wrath of the Titans","2012","Mar","Action","PG-13","99","English","Jonathan Liebesman","Dan Mazeau","Sam Worthington","37","58","147749","150000000","83670083"
"851","The Hunger Games","2012","Mar","Adventure","PG-13","142","English","Gary Ross","Gary Ross","Stanley Tucci","68","73","675743","78000000","408010692"
"852","G.I. Joe: Retaliation","2013","Mar","Action","PG-13","110","English","Jon M. Chu","Rhett Reese","Dwayne Johnson","41","58","141900","130000000","122512052"
"853","Safety Not Guaranteed","2012","Oct","Comedy","R","86","English","Colin Trevorrow","Derek Connolly","Aubrey Plaza","72","70","98238","750000","4010957"
"854","Blackhat","2015","Jan","Action","R","133","English","Michael Mann","Morgan Davis Foehl","Chris Hemsworth","51","54","35637","70000000","7097125"
"855","American Hustle","2013","Dec","Crime","R","138","English","David O. Russell","Eric Warren Singer","Christian Bale","90","73","344462","40000000","150117807"
"856","In the Land of Blood and Honey","2011","Feb","Drama","R","127","Bosnian","Angelina Jolie","Angelina Jolie","Zana Marjanovic","56","43","31169","13000000","303877"
"857","Killer Priest","2011","Mar","Drama","Not Rated","86","English","Damian Chapa, Mario Amadeu","Mario Amadeu","Damian Chapa","N/A","67","7","1000000","3421000"
"858","The Future","2011","Aug","Comedy","R","91","English","Miranda July","Miranda July","Hamish Linklater","67","62","6737","1000000","568366"
"859","A Million Ways to Die in the West","2014","May","Comedy","R","116","English","Seth MacFarlane","Seth MacFarlane","Seth MacFarlane","44","61","130286","40000000","42615685"
"860","On the Road","2012","May","Adventure","R","124","English","Walter Salles","Jack Kerouac","Sam Riley","56","61","32013","25000000","717753"
"861","Unknown","2011","Feb","Action","PG-13","113","English","Jaume Collet-Serra","Oliver Butcher","Liam Neeson","56","69","204667","30000000","63686397"
